id,IP,account,group,id,port,ret,switchIP,time,url,vlan
1000000,192.168.177.177,xiaojiawei@qq.com,大四,1,63070,0.1273,192.168.163.108,2023/04/21 16:14,http://37.cn,700
1000001,192.168.227.106,xiaojiawei@qq.com,大二,2,18218,0.0442,192.168.107.189,2023/04/21 17:52,https://www.45.net,700
1000002,192.168.53.156,xiaojiawei@qq.com,大三,3,47704,0.1967,192.168.189.85,2023/04/21 18:28,http://10.net,700
1000003,192.168.157.230,xiaojiawei@qq.com,大一,4,59962,0.574,192.168.92.230,2023/04/21 17:24,https://www.47.cn,700
1000004,192.168.168.253,xiaojiawei@qq.com,大三,5,15973,0.663,192.168.233.51,2023/04/21 16:27,http://www.39.org,700
1000005,192.168.249.165,xiaojiawei@qq.com,大三,6,14556,0.5821,192.168.24.2,2023/04/21 18:31,http://30.org,700
1000006,192.168.156.83,xiaojiawei@qq.com,大四,7,14607,0.8342,192.168.196.150,2023/04/21 16:53,http://91.net,700
1000007,192.168.81.40,xiaojiawei@qq.com,大四,8,62613,0.1899,192.168.189.247,2023/04/21 18:52,http://13.net,700
1000008,192.168.223.63,xiaojiawei@qq.com,大二,9,49724,0.2688,192.168.39.17,2023/04/21 16:35,https://www.44.com,700
1000009,192.168.173.210,xiaojiawei@qq.com,大一,10,17782,0.2452,192.168.57.47,2023/04/21 16:31,https://www.50.com,700
1000010,192.168.52.94,xiaojiawei@qq.com,大三,11,12020,0.9452,192.168.187.3,2023/04/21 17:25,http://www.4.cn,700
1000011,192.168.213.76,xiaojiawei@qq.com,大一,12,62096,0.7536,192.168.244.144,2023/04/21 18:52,https://77.org,700
1000012,192.168.247.37,xiaojiawei@qq.com,大一,13,42986,0.5186,192.168.99.112,2023/04/21 18:00,http://5.org,700
1000013,192.168.19.132,xiaojiawei@qq.com,大二,14,32369,0.2369,192.168.2.184,2023/04/21 18:16,http://www.46.org,700
1000014,192.168.151.71,xiaojiawei@qq.com,大二,15,48258,0.3399,192.168.67.246,2023/04/21 18:17,https://www.97.net,700
1000015,192.168.21.89,xiaojiawei@qq.com,大一,16,57105,0.5624,192.168.140.135,2023/04/21 16:54,https://www.34.net,700
1000016,192.168.94.86,xiaojiawei@qq.com,大三,17,31026,0.8098,192.168.235.155,2023/04/21 18:56,https://www.61.org,700
1000017,192.168.167.95,xiaojiawei@qq.com,大四,18,39362,0.2112,192.168.208.52,2023/04/21 16:17,http://www.45.com,700
1000018,192.168.210.236,xiaojiawei@qq.com,大四,19,19695,0.1011,192.168.144.178,2023/04/21 16:41,https://www.27.cn,700
1000019,192.168.4.153,xiaojiawei@qq.com,大四,20,14502,0.6653,192.168.225.126,2023/04/21 16:33,https://65.net,700
1000020,192.168.182.154,xiaojiawei@qq.com,大一,21,49042,0.1725,192.168.48.131,2023/04/21 16:37,http://www.79.net,700
1000021,192.168.127.128,xiaojiawei@qq.com,大四,22,44925,0.7834,192.168.226.77,2023/04/21 18:31,http://www.22.com,700
1000022,192.168.155.198,xiaojiawei@qq.com,大二,23,13151,0.1377,192.168.24.11,2023/04/21 17:11,http://68.net,700
1000023,192.168.5.139,xiaojiawei@qq.com,大四,24,63881,0.5027,192.168.113.46,2023/04/21 18:13,https://www.49.cn,700
1000024,192.168.88.76,xiaojiawei@qq.com,大二,25,61290,0.4225,192.168.7.252,2023/04/21 16:54,http://www.90.org,700
1000025,192.168.180.240,xiaojiawei@qq.com,大四,26,43618,0.4712,192.168.211.197,2023/04/21 17:25,http://www.85.org,700
1000026,192.168.231.248,xiaojiawei@qq.com,大三,27,37817,0.7575,192.168.157.62,2023/04/21 18:42,https://www.96.net,700
1000027,192.168.8.70,xiaojiawei@qq.com,大一,28,12125,0.163,192.168.225.8,2023/04/21 17:15,https://www.98.org,700
1000028,192.168.180.96,xiaojiawei@qq.com,大四,29,35071,0.153,192.168.107.189,2023/04/21 18:28,https://www.65.net,700
1000029,192.168.236.151,xiaojiawei@qq.com,大四,30,36057,0.5704,192.168.113.141,2023/04/21 17:05,https://www.62.cn,700
1000030,192.168.39.118,xiaojiawei@qq.com,大一,31,46199,0.4151,192.168.204.54,2023/04/21 16:18,http://www.89.com,700
1000031,192.168.69.145,xiaojiawei@qq.com,大二,32,60632,0.0025,192.168.210.249,2023/04/21 18:18,http://www.86.net,700
1000032,192.168.157.24,xiaojiawei@qq.com,大二,33,26153,0.6931,192.168.86.119,2023/04/21 18:09,https://49.cn,700
1000033,192.168.25.120,xiaojiawei@qq.com,大二,34,10435,0.1873,192.168.190.215,2023/04/21 16:47,https://49.cn,700
1000034,192.168.61.199,xiaojiawei@qq.com,大二,35,65376,0.6182,192.168.254.214,2023/04/21 18:45,http://www.61.com,700
1000035,192.168.214.51,xiaojiawei@qq.com,大一,36,43299,0.7542,192.168.130.44,2023/04/21 16:10,http://www.78.cn,700
1000036,192.168.118.152,xiaojiawei@qq.com,大四,37,62822,0.2078,192.168.177.136,2023/04/21 18:32,https://www.16.net,700
1000037,192.168.14.53,xiaojiawei@qq.com,大四,38,11767,0.8557,192.168.253.146,2023/04/21 16:09,http://www.81.org,700
1000038,192.168.88.236,xiaojiawei@qq.com,大一,39,17666,0.612,192.168.80.112,2023/04/21 16:51,http://64.cn,700
1000039,192.168.181.34,xiaojiawei@qq.com,大二,40,47236,0.5046,192.168.109.5,2023/04/21 16:51,http://92.cn,700
1000040,192.168.8.78,xiaojiawei@qq.com,大二,41,58880,0.1296,192.168.64.64,2023/04/21 17:53,https://www.78.org,700
1000041,192.168.28.128,xiaojiawei@qq.com,大一,42,53754,0.8141,192.168.17.57,2023/04/21 17:10,http://www.74.org,700
1000042,192.168.96.44,xiaojiawei@qq.com,大二,43,49253,0.8311,192.168.1.82,2023/04/21 18:52,https://18.com,700
1000043,192.168.251.254,xiaojiawei@qq.com,大二,44,11260,0.3371,192.168.139.16,2023/04/21 18:29,http://25.net,700
1000044,192.168.92.80,xiaojiawei@qq.com,大四,45,38285,0.9668,192.168.164.144,2023/04/21 16:48,https://www.90.net,700
1000045,192.168.225.204,xiaojiawei@qq.com,大三,46,12436,0.8161,192.168.132.173,2023/04/21 18:53,http://44.org,700
1000046,192.168.38.185,xiaojiawei@qq.com,大一,47,27347,0.7888,192.168.30.177,2023/04/21 18:14,http://www.63.net,700
1000047,192.168.243.91,xiaojiawei@qq.com,大一,48,52647,0.7913,192.168.175.205,2023/04/21 17:17,http://www.11.com,700
1000048,192.168.61.68,xiaojiawei@qq.com,大三,49,51196,0.9265,192.168.190.151,2023/04/21 17:08,https://www.85.net,700
1000049,192.168.136.117,xiaojiawei@qq.com,大三,50,59059,0.8491,192.168.157.230,2023/04/21 16:47,https://55.com,700
1000050,192.168.3.218,xiaojiawei@qq.com,大一,51,28192,0.8055,192.168.29.95,2023/04/21 16:15,https://30.cn,700
1000051,192.168.36.243,xiaojiawei@qq.com,大一,52,40183,0.9789,192.168.166.138,2023/04/21 16:57,http://58.org,700
1000052,192.168.116.161,xiaojiawei@qq.com,大二,53,37234,0.8311,192.168.149.231,2023/04/21 18:48,http://88.org,700
1000053,192.168.240.191,xiaojiawei@qq.com,大四,54,59470,0.3407,192.168.21.121,2023/04/21 16:53,https://www.16.com,700
1000054,192.168.179.156,xiaojiawei@qq.com,大三,55,22512,0.0451,192.168.151.124,2023/04/21 18:16,https://www.2.cn,700
1000055,192.168.140.2,xiaojiawei@qq.com,大一,56,40241,0.649,192.168.147.125,2023/04/21 18:20,http://www.89.org,700
1000056,192.168.83.220,xiaojiawei@qq.com,大二,57,34129,0.6646,192.168.42.62,2023/04/21 16:46,https://www.81.cn,700
1000057,192.168.164.71,xiaojiawei@qq.com,大一,58,62200,0.2135,192.168.236.166,2023/04/21 18:04,http://www.40.cn,700
1000058,192.168.139.115,xiaojiawei@qq.com,大三,59,36613,0.315,192.168.205.184,2023/04/21 16:54,http://www.97.net,700
1000059,192.168.242.84,xiaojiawei@qq.com,大三,60,26322,0.3336,192.168.89.36,2023/04/21 17:23,https://42.org,700
1000060,192.168.203.104,xiaojiawei@qq.com,大二,61,31497,0.267,192.168.195.59,2023/04/21 17:53,http://43.cn,700
1000061,192.168.200.15,xiaojiawei@qq.com,大二,62,54768,0.3339,192.168.45.127,2023/04/21 17:15,http://88.cn,700
1000062,192.168.187.42,xiaojiawei@qq.com,大一,63,44846,0.5512,192.168.222.9,2023/04/21 17:26,http://6.cn,700
1000063,192.168.169.3,xiaojiawei@qq.com,大一,64,62420,0.3724,192.168.4.180,2023/04/21 16:03,https://www.74.com,700
1000064,192.168.158.151,xiaojiawei@qq.com,大二,65,22431,0.4498,192.168.217.142,2023/04/21 17:58,https://5.org,700
1000065,192.168.29.165,xiaojiawei@qq.com,大一,66,12977,0.6,192.168.191.220,2023/04/21 16:21,https://www.27.org,700
1000066,192.168.22.154,xiaojiawei@qq.com,大一,67,35701,0.5565,192.168.169.252,2023/04/21 16:12,http://14.net,700
1000067,192.168.206.240,xiaojiawei@qq.com,大二,68,54472,0.3169,192.168.37.83,2023/04/21 16:20,https://www.4.com,700
1000068,192.168.133.214,xiaojiawei@qq.com,大四,69,43944,0.1681,192.168.232.162,2023/04/21 16:54,http://www.62.com,700
1000069,192.168.163.154,xiaojiawei@qq.com,大二,70,58974,0.4369,192.168.201.171,2023/04/21 18:28,http://27.net,700
1000070,192.168.50.52,xiaojiawei@qq.com,大四,71,30822,0.7095,192.168.179.146,2023/04/21 17:17,https://www.19.org,700
1000071,192.168.1.5,xiaojiawei@qq.com,大一,72,28540,0.7217,192.168.199.191,2023/04/21 17:11,https://84.org,700
1000072,192.168.40.171,xiaojiawei@qq.com,大三,73,53782,0.1737,192.168.175.66,2023/04/21 16:18,http://www.83.com,700
1000073,192.168.119.200,xiaojiawei@qq.com,大二,74,32259,0.9475,192.168.229.103,2023/04/21 18:00,https://www.37.cn,700
1000074,192.168.53.178,xiaojiawei@qq.com,大二,75,22785,0.3981,192.168.237.30,2023/04/21 18:57,http://www.51.com,700
1000075,192.168.62.180,xiaojiawei@qq.com,大三,76,11735,0.6483,192.168.142.233,2023/04/21 18:00,http://www.15.com,700
1000076,192.168.10.109,xiaojiawei@qq.com,大一,77,21430,0.5021,192.168.119.246,2023/04/21 16:02,http://70.com,700
1000077,192.168.217.95,xiaojiawei@qq.com,大二,78,45535,0.6446,192.168.88.170,2023/04/21 17:53,https://www.69.net,700
1000078,192.168.194.99,xiaojiawei@qq.com,大二,79,47297,0.8811,192.168.38.49,2023/04/21 17:00,http://40.cn,700
1000079,192.168.66.200,xiaojiawei@qq.com,大二,80,63128,0.0361,192.168.231.36,2023/04/21 16:38,http://5.net,700
1000080,192.168.201.145,xiaojiawei@qq.com,大一,81,61739,0.5283,192.168.61.75,2023/04/21 18:06,http://www.27.cn,700
1000081,192.168.85.245,xiaojiawei@qq.com,大一,82,41357,0.6751,192.168.241.9,2023/04/21 17:25,http://10.cn,700
1000082,192.168.233.50,xiaojiawei@qq.com,大三,83,25914,0.8926,192.168.3.61,2023/04/21 17:20,http://79.net,700
1000083,192.168.121.180,xiaojiawei@qq.com,大二,84,23650,0.8218,192.168.118.207,2023/04/21 18:44,https://21.org,700
1000084,192.168.0.229,xiaojiawei@qq.com,大一,85,37214,0.8711,192.168.153.52,2023/04/21 16:20,http://54.com,700
1000085,192.168.32.122,xiaojiawei@qq.com,大四,86,43711,0.8598,192.168.195.181,2023/04/21 18:55,https://97.com,700
1000086,192.168.211.157,xiaojiawei@qq.com,大四,87,28533,0.9217,192.168.31.72,2023/04/21 16:57,https://93.com,700
1000087,192.168.47.88,xiaojiawei@qq.com,大四,88,29019,0.0427,192.168.18.179,2023/04/21 18:34,http://www.19.cn,700
1000088,192.168.182.246,xiaojiawei@qq.com,大二,89,40971,0.2502,192.168.150.19,2023/04/21 17:54,http://www.38.net,700
1000089,192.168.200.194,xiaojiawei@qq.com,大二,90,25235,0.5134,192.168.240.163,2023/04/21 17:07,https://www.43.net,700
1000090,192.168.12.122,xiaojiawei@qq.com,大四,91,59645,0.5391,192.168.28.162,2023/04/21 18:28,https://www.90.cn,700
